,playerid,Name,Position(s),Team,Salary,dollar_value,Surplus,Values,Adjusted,Overall_Value,R,HR,RBI,SB,ex_AVE,K,W,SV,ex_WHIP,ex_ERA,Group,Tier,Stuff+,brl_percent,brl_percentile,whiff_percent
2996,sa3016095,None,Not Available,FA,0.0,0.0,0.0,-1.636988162577444,0.0,0.0,0.0741,0.008,0.06810000000000001,0.0077,-0.079242,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2997,sa3016860,None,Not Available,FA,0.0,0.0,0.0,-1.6369956592668975,0.0,0.0,0.081,0.0164,0.073,0.0152,-0.0984504,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2998,sa3019925,None,Not Available,FA,0.0,0.0,0.0,-1.6370224141891967,0.0,0.0,0.07,0.0094,0.0656,0.014400000000000001,-0.08695660000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2999,sa3007077,None,Not Available,FA,0.0,0.0,0.0,-1.6370310001518114,0.0,0.0,0.0818,0.0182,0.0767,0.0105,-0.09571940000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3000,sa3019901,None,Not Available,FA,0.0,0.0,0.0,-1.6370424995566384,0.0,0.0,0.0752,0.011300000000000001,0.0718,0.0068000000000000005,-0.08250320000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3001,sa3016128,None,Not Available,FA,0.0,0.0,0.0,-1.6369261098309646,0.0,0.0,0.07440000000000001,0.0173,0.07730000000000001,0.009300000000000001,-0.09133240000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3002,sa3019724,None,Not Available,FA,0.0,0.0,0.0,-1.637123458544244,0.0,0.0,0.0727,0.0115,0.07100000000000001,0.0102,-0.08628960000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3003,sa3010706,None,Not Available,FA,0.0,0.0,0.0,-1.6369155127312178,0.0,0.0,0.0757,0.0143,0.0757,0.0071,-0.08597120000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3004,sa3005928,None,Not Available,FA,0.0,0.0,0.0,-1.6371243236178734,0.0,0.0,0.0765,0.0125,0.0718,0.0089,-0.08675690000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3005,sa3022562,None,Not Available,FA,0.0,0.0,0.0,-1.6371325219795863,0.0,0.0,0.0737,0.015,0.0742,0.0108,-0.09114449999999999,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3006,sa3011599,None,Not Available,FA,0.0,0.0,0.0,-1.6374989473571469,0.0,0.0,0.0805,0.0211,0.0796,0.010400000000000001,-0.1007564,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3007,sa3019900,None,Not Available,FA,0.0,0.0,0.0,-1.6375126596671206,0.0,0.0,0.0806,0.0122,0.07100000000000001,0.013800000000000002,-0.09498309999999999,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3008,sa3019630,None,Not Available,FA,0.0,0.0,0.0,-1.6375161521364525,0.0,0.0,0.0743,0.015700000000000002,0.0745,0.0091,-0.091778,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3009,sa3008782,None,Not Available,FA,0.0,0.0,0.0,-1.6375240520085188,0.0,0.0,0.0717,0.0083,0.06470000000000001,0.0122,-0.08595890000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3010,sa3015695,None,Not Available,FA,0.0,0.0,0.0,-1.637801127554592,0.0,0.0,0.0694,0.0081,0.0653,0.0109,-0.08513720000000005,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3011,sa3020354,None,Not Available,FA,0.0,0.0,0.0,-1.6378012926693595,0.0,0.0,0.07540000000000001,0.0181,0.0756,0.007500000000000001,-0.09386720000000004,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3012,sa3016543,None,Not Available,FA,0.0,0.0,0.0,-1.6378418309866114,0.0,0.0,0.068,0.0098,0.06770000000000001,0.011600000000000001,-0.08790040000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3013,sa3021322,None,Not Available,FA,0.0,0.0,0.0,-1.6378433954423728,0.0,0.0,0.0723,0.0111,0.0692,0.0112,-0.09000220000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3014,sa3005722,None,Not Available,FA,0.0,0.0,0.0,-1.6378530693293065,0.0,0.0,0.07490000000000001,0.013600000000000001,0.0724,0.010100000000000001,-0.09236140000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3015,sa3020271,None,Not Available,FA,0.0,0.0,0.0,-1.6371694584164072,0.0,0.0,0.0787,0.0175,0.074,0.0071,-0.09027960000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
3016,sa3018380,None,Not Available,FA,0.0,0.0,0.0,-1.643003500216117,0.0,0.0,0.0669,0.0149,0.0682,0.0097,-0.11446540000000002,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
